日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅(%),成交量(手),成交额(元)
20260420,4.06,4.24,4.05,4.19,4.02,0.17,4.2289,11904594.49,4939630.314
20260421,4.19,4.34,4.14,4.22,4.19,0.03,0.716,11348023.66,4785754.663
20260422,4.2,4.28,4.2,4.27,4.22,0.05,1.1848,6812882.43,2896227.718
20260423,4.26,4.29,4.17,4.19,4.27,-0.08,-1.8735,6914901.45,2915342.391
20260424,4.17,4.19,4.11,4.13,4.19,-0.06,-1.432,4600997.83,1905351.533
20260427,4.15,4.22,4.13,4.21,4.13,0.08,1.937,4824065.9,2018714.636
20260428,4.2,4.21,4.14,4.15,4.21,-0.06,-1.4252,3954386.34,1647186.381
20260429,4.14,4.18,4.12,4.17,4.15,0.02,0.4819,4140091.11,1719219.083
20260430,4.13,4.18,4.08,4.08,4.17,-0.09,-2.1583,7454049.05,3060106.52
20260506,4.11,4.22,4.09,4.18,4.08,0.1,2.451,8280384.8,3436739.694
20260507,4.2,4.25,4.16,4.21,4.18,0.03,0.7177,6650425.71,2796958.858
20260508,4.19,4.19,4.12,4.17,4.21,-0.04,-0.9501,6379056.58,2646109.505
20260511,4.17,4.23,4.16,4.19,4.17,0.02,0.4796,6100839.81,2556271.292
20260512,4.19,4.23,4.14,4.17,4.19,-0.02,-0.4773,6185212.96,2590545.784
20260513,4.17,4.23,4.15,4.23,4.17,0.06,1.4388,6382205.86,2678779.218
20260514,4.28,4.33,4.2,4.22,4.23,-0.01,-0.2364,8761121.34,3732635.812
20260515,4.22,4.24,4.12,4.14,4.22,-0.08,-1.8957,8215945.31,3418420.93
20260518,4.12,4.23,4.08,4.21,4.14,0.07,1.6908,8399587.01,3511996.412
20260519,4.2,4.32,4.17,4.31,4.21,0.1,2.3753,8801051.22,3740643.042
20260520,4.29,4.31,4.24,4.26,4.31,-0.05,-1.1601,5717787.43,2440830.457
20260521,4.69,4.69,4.69,4.69,4.26,0.43,10.0939,10360099.56,4858886.694
20260522,4.7,5.16,4.47,5.16,4.69,0.47,10.0213,60110591.97,29162865.532
20260525,5.17,5.37,5.06,5.27,5.16,0.11,2.1318,43088758.18,22498860.486
20260526,5.22,5.8,5.18,5.77,5.27,0.5,9.4877,51377251.21,28645747.449
